"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_RB0026","ACCT_RB0027","ACCT_RB0028","ACCT_RB0029","ACCT_RB0030","ACCT_RB0031","ACCT_RB0032","ACCT_RB0033","ACCT_RB0034","ACCT_RB0035","ACCT_RB0036","ACCT_RB0037","ACCT_RB0038","ACCT_RB0039","ACCT_RB0040","ACCT_RB0041","ACCT_RB0042","ACCT_RB0043","ACCT_RB0044","ACCT_RB0045","ACCT_RB0046","ACCT_RB0047","ACCT_RB0048","ACCT_RB0049","ACCT_RB0050","ACCT_RB0051","ACCT_RB0052","ACCT_RB0053","ACCT_RB0054","ACCT_RB0055","ACCT_RB0056","ACCT_RB0057","ACCT_RB0058","ACCT_RB0059","ACCT_RB0060","ACCT_RB0061","ACCT_RB0062","ACCT_RB0063","ACCT_RB0064","ACCT_RB0065","ACCT_RB0066","ACCT_RB0067","ACCT_RB0068","ACCT_RB0069","ACCT_RB0070","ACCT_RB0071","ACCT_RB0072","ACCT_RB0073","ACCT_RB0074","ACCT_RB0075","ACCT_RB0076","ACCT_RB0077","ACCT_RB0078","ACCT_RB0079","ACCT_RB0080","ACCT_RB0081","ACCT_RB0082","ACCT_RB0083","ACCT_RB0084","ACCT_RB0085","ACCT_RB0086","ACCT_RB0087","ACCT_RB0088","ACCT_RB0089","ACCT_RB0090","ACCT_RB0091","ACCT_RB0092","ACCT_RB0093","ACCT_RB0094","ACCT_RB0095","ACCT_RB0096","ACCT_RB0097","ACCT_RB0098","ACCT_RB0099","ACCT_RB0100","ACCT_RB0101","ACCT_RB0102","ACCT_RB0103","ACCT_RB0104","ACCT_RB0105","ACCT_RB0106","ACCT_RB0107","ACCT_RB0108","ACCT_RB0109","ACCT_RB0110","ACCT_RB0111","ACCT_RB0112","ACCT_RB0113","ACCT_RB0114","ACCT_RB0115","ACCT_RB0116","ACCT_RB0117","ACCT_RB0118","ACCT_RB0119","ACCT_RB0120","ACCT_RB0121","ACCT_RB0122","ACCT_RB0123","ACCT_RB0124","ACCT_RB0125","ACCT_RB0126","ACCT_RB0127","ACCT_RB0128","ACCT_RB0129","ACCT_RB0130","ACCT_RB0131","ACCT_RB0132","ACCT_RB0133","ACCT_RB0134","ACCT_RB0135","ACCT_RB0136","ACCT_RB0137","ACCT_RB0138","ACCT_RB0139","ACCT_RB0140","ACCT_RB0141","ACCT_RB0142","ACCT_RB0143","ACCT_RB0144","ACCT_RB0145","ACCT_RB0146","ACCT_RB0147","ACCT_RB0148","ACCT_RB0149","ACCT_RB0150","ACCT_RB0151","ACCT_RB0152","ACCT_RB0153","ACCT_RB0154","ACCT_RB0155","ACCT_RB0156","ACCT_RB0157","ACCT_RB0158","ACCT_RB0159","ACCT_RB0160","ACCT_RB0161","ACCT_RB0162","ACCT_RB0163","ACCT_RB0164","ACCT_RB0165","ACCT_RB0166","ACCT_RB0167","ACCT_RB0168","ACCT_RB0169","ACCT_RB0170","ACCT_RB0171","ACCT_RB0172","ACCT_RB0177","ACCT_RL0001","ACCT_RL0002","ACCT_RL0003","ACCT_RL0004","ACCT_RL0005","ACCT_RL0006","ACCT_RL0007","ACCT_RL0008","ACCT_RL0009","ACCT_RL0010","ACCT_RL0011","ACCT_RL0012","ACCT_RL0013","ACCT_RL0014","ACCT_RL0015","ACCT_RL0016","ACCT_RL0017","ACCT_RL0018","ACCT_RL0019","ACCT_RL0020","ACCT_RL0021","ACCT_RL0022","ACCT_RL0023","ACCT_RL0024","ACCT_RL0025","ACCT_RL0026","ACCT_RL0027","ACCT_RL0028","ACCT_RL0029","ACCT_RL0030","ACCT_RL0031","ACCT_RL0032","ACCT_RL0033","ACCT_RL0034","ACCT_RL0035","ACCT_RL0036","ACCT_RL0037","ACCT_RL0038","ACCT_RL0039","ACCT_RL0040","ACCT_RL0041","ACCT_RL0042","ACCT_RL0043","ACCT_RL0044","ACCT_RL0045","ACCT_RL0046","ACCT_RL0047","ACCT_RL0048","ACCT_RL0050","ACCT_SH0013","ACCT_SH0018","ACCT_SH0880","ACCT_SL0018","ACCT_SL0019","ACCT_SL0020","ACCT_SL0021","ACCT_SL0022","ACCT_SL0023","ACCT_SL0024","ACCT_SL0026","ACCT_SL0028","ACCT_SL0029","ACCT_SL0030","ACCT_SL0032","ACCT_SL0033","ACCT_SL0034","ACCT_SL0035","ACCT_LR0001","ACCT_LR0002","ACCT_LR0003","ACCT_LR0004","ACCT_LR0005","ACCT_LR0006","ACCT_LR0007","ACCT_LR0008","ACCT_LQ0060","ACCT_LQ0061","ACCT_LQ0062","ACCT_NW0004"
1,9/30/2025 0:00:00,2,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8816610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36214,36214,8780396,0,-36214,-36214,0,0,0,0,0,163741,0,104562,104562,0,0,0,0,0,0,0,12676797,68348,68348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12676797,0,0,36214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11225414,11225414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2475
6,9/30/2025 0:00:00,7,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,21220837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175115882,0,0,0,0,0,0,0,1209239,0,0,0,0,0,0,0,0,2728610,2728610,209259224,0,-2728610,-2728610,0,0,0,0,0,16729459,0,2307112,2307112,0,0,0,0,0,0,0,278852542,-421498,-421498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278852542,0,0,2728610,98,16419318,1229600,80,5227530,138400,17,971706,125650,8,1260505,445000,0,0,0,23879059,1938650,121,6623931,1892000,0,0,0,0,0,0,104,5159723,937400,11783654,2829400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,35662713,4768050,7532965,209222857,241226857,32004000,309,5527949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9/30/2025 0:00:00,11,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,4242719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21761499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168876,1168876,30127415,0,-1168876,-1168876,0,0,0,0,0,9472677,0,543791,543791,0,0,0,0,0,0,0,64991642,-625085,-625085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64991642,0,0,1168876,7,656660,0,59,3412598,1109200,0,0,0,0,0,0,0,0,0,4069258,1109200,108,5439550,1798900,0,0,0,0,0,0,2,25984,0,5465534,1798900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,9534792,2908100,0,59021681,59021681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9/30/2025 0:00:00,12,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,16037520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673595146,0,0,0,0,0,0,0,1075109,0,0,0,0,0,0,0,0,3598347,3598347,1077469407,0,-3598347,-3598347,0,0,0,0,0,45270240,0,9998880,9998880,0,0,0,0,0,0,0,1216552344,6400533,6400533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216552344,0,0,3598347,354,86105875,20376516,880,94938116,35879030,0,0,0,332,109380693,10001853,430,25093007,5880054,315517691,72137453,0,0,0,0,0,0,0,0,0,1693,90879808,21893091,90879808,21893091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3689,406397499,94030544,247401308,983808237,1058398140,74589903,3,1075109,0,0,17,4208791,17,0,14,3517814,244,0,0,0,0,1,122648946,1008,0,0,0,0,0,0,0,0,751817
16,9/30/2025 0:00:00,14,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,40341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2972680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42706,42706,3772626,0,-42706,-42706,0,0,0,0,0,129195,0,80491,80491,0,0,0,0,0,0,0,9247964,37785,37785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9247964,0,0,42706,3,270354,270354,1,65073,65073,7,340049,340049,0,0,0,0,0,0,675476,675476,5,122135,122135,4,45039,45039,0,0,0,0,0,0,167174,167174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,842650,842650,0,7918993,7918993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9/30/2025 0:00:00,16,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,7901857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30588,30588,1448110,0,-30588,-30588,0,0,0,0,0,100975,0,65179,65179,0,0,0,0,0,0,0,9933271,34591,34591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9933271,0,0,30588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6732441,6732441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9/30/2025 0:00:00,17,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,42026070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93036637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583538,1583538,236591115,0,-1583538,-1583538,0,0,0,0,0,8633083,0,2605580,2605580,0,0,0,0,0,0,0,350964379,1022042,1022042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350964379,0,0,1583538,27,6016494,0,31,4217331,172000,0,0,0,0,0,0,5,690809,0,10924634,172000,976,68167457,5742794,0,0,0,0,0,0,1690,66045925,26057308,134213382,31800102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729,145138016,31972102,86166005,291294097,291294097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5192490,0,186429
26,9/30/2025 0:00:00,19,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,111464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4866250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52249,52249,5915981,0,-52249,-52249,0,0,0,0,0,414419,0,182886,182886,0,0,0,0,0,0,0,21843885,130637,130637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21843885,0,0,52249,0,0,0,17,1101985,125000,0,0,0,0,0,0,0,0,0,1101985,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1101985,125000,0,19485349,19485349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17546
28,9/30/2025 0:00:00,21,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,79821057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575945260,0,0,0,0,0,0,0,137715197,0,0,0,0,0,0,-1268499,0,21034571,21034571,1229066643,-1268499,-21034571,-21034571,0,0,0,0,0,124181265,0,11440913,11440913,0,0,0,0,0,0,0,1445646687,-9593658,-9593658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445646687,0,0,21034571,1100,206160815,68299375,689,49998530,1724685,7,506193,0,0,0,0,299,77772309,0,334437847,70024060,1307,60144249,16865532,0,0,0,0,0,0,2880,140590161,62035988,200734410,78901520,6,183978,17250,0,0,0,0,0,0,9,208402,0,392380,17250,6297,535564637,148942830,211752695,1171211057,1181243057,10032000,9,22027258,0,0,131,33864700,131,0,131,33864700,3053,0,0,1441,20514635,1,106727990,738,0,0,0,0,0,0,24307091,0,1863476
42,9/30/2025 0:00:00,29,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,24400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30186361,0,0,0,0,0,0,0,301843,0,0,0,0,0,0,0,0,461319,461319,85301814,0,-461319,-461319,0,0,0,0,0,4498255,0,1176055,1176055,0,0,0,0,0,0,0,153412036,714736,714736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153412036,0,0,461319,76,14425385,5081575,103,8440460,0,0,0,0,0,0,0,1,110657,0,22976502,5081575,260,15603487,3291535,51,1903946,0,0,0,0,263,14790995,5987100,32298428,9278635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,55274930,14360210,0,135104068,135104068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33057
47,9/30/2025 0:00:00,30,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11411108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113239,113239,22754968,0,-113239,-113239,0,0,0,0,0,3274622,0,488214,488214,0,0,0,0,0,0,0,56849612,374975,374975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56849612,0,0,113239,0,0,0,0,0,0,56,5752129,0,0,0,0,0,0,0,5752129,0,1,17935,0,0,0,0,0,0,0,102,5687035,1994370,5704970,1994370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,11457099,1994370,0,49667777,49667777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,9/30/2025 0:00:00,31,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,6202000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21189006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312848,312848,22390997,0,-312848,-312848,0,0,0,0,0,9189688,0,492260,492260,0,0,0,0,0,0,0,64204652,179412,179412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64204652,0,0,312848,13,223086,0,21,394874,0,0,0,0,0,0,0,0,0,0,617960,0,0,0,0,0,0,0,23,896879,90000,0,0,0,896879,90000,5,195764,47000,0,0,0,0,0,0,0,0,0,195764,47000,62,1710603,137000,275080,51089750,51089750,0,28,424415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,9/30/2025 0:00:00,32,Subm,0,0,0,19576464,0,19180300,0,396162,2,0,0,0,0,916018414,0,916018414,309906618,595565016,1651453,0,396162,8499165,0,0,0,126640974,3527034484,3146320374,368584714,12129396,-94966921,712682785,710581105,2101680,1872307906,-43399,1872264507,7436170,0,1404688946,448444693,11694698,782180136,43399,782223535,43399,0,774486345,7693791,-31674053,0,70669136,70669136,6823536175,0,6823536175,-63189567,0,3146320374,1773273660,1945641539,21490169,501064696,0,501064696,195266445,284666165,0,21132086,0,0,0,0,9024142199,9024142199,1203563049,599931953,3147971827,1773273660,2247884128,21886331,21132086,8499165,0,0,0,5382968883.6,119986390.6,1573985913.5,1329955245,2247884128,32829496.5,52830215,25497495,0,0,0,18173558,18173558,65031946,25408563,3446898,36176485,32637477,32637477,3409016,3409016,0,0,0,0,0,0,0,180341599,180241599,0,0,100000,0,0,0,0,0,0,0,0,299593596,180241599,0,0,100000,28817579,3446898,86987520,0,104001483,0,0,20000,14408789.5,2585173.5,86987520,0,9323735795,5486970366.6,1303,70669136,2415,520096212,250347282,4695,339160330,22716103,6782,1799435188,61880559,1003,306513919,142587822,6572,435187861,88806600,3400393510,566338366,2674,55737912,0,0,0,0,5249,203425231,0,12682,548486563,234049900,807649706,234049900,1,34096,0,4,163683,0,0,0,0,0,0,0,197779,0,42077,4208240995,800388266,1033344679,7971092654,7971192654,100000,0,0,0,0,973,253335715,973,0,973,253335715,25081,0,0,0,0,0,1030086424,1141,0,0,0,0,0,0,0,0,7669413
53,9/30/2025 0:00:00,33,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,1580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12226210,0,0,0,0,0,0,0,7391566,0,0,0,0,0,0,0,0,362604,362604,38554021,0,-362604,-362604,0,0,0,0,0,8372754,0,504502,504502,0,0,0,0,0,0,0,60950140,141898,141898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60950140,0,0,362604,20,6349889,0,40,3569323,475000,0,0,0,0,0,0,10,2835242,0,12754454,475000,25,1266509,85000,0,0,0,0,0,0,83,5277886,2111500,6544395,2196500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,19298849,2671500,16248082,54419700,54419700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,9/30/2025 0:00:00,35,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,60939031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189867677,0,0,0,0,0,0,0,8964658,0,0,0,0,0,0,-2376555,0,4432400,4432400,328916589,-2376555,-4432400,-4432400,0,0,0,0,0,42442773,0,5711333,5711333,0,0,0,0,0,0,0,497781952,1278933,1278933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497781952,0,0,4432400,77,16911053,51812345,311,30111467,1557289,4,696867,0,30,8355913,13241504,109,6560964,5342000,62636264,71953138,361,20574996,6335350,0,0,0,0,0,0,917,48928840,13740809,69503836,20076159,49,26982265,803605,0,0,0,0,0,0,0,0,0,26982265,803605,1858,159122365,92832902,64547440,441773029,441773029,0,2280,15710337,0,0,209,51948659,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000000,0,219074
77,9/30/2025 0:00:00,41,WISE,0,0,0,0,0,0,0,0,0,0,0,0,0,32534758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69173988,0,0,0,0,0,0,0,13404467,0,0,0,0,0,0,-4714930,0,813159,813159,108889721,-4714930,-813159,-813159,0,0,0,0,0,7873511,0,1784984,1784984,0,0,0,0,0,0,0,202766422,971825,971825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202766422,0,0,813159,19,5154592,0,36,4613271,443800,11,5736090,0,11,1610657,3000330,4,117786,0,17232396,3444130,58,2311262,272000,0,0,0,0,0,0,88,2865837,4180227,5177099,4452227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,22409495,7896357,0,184960788,184960788,0,114,1636207,5,3937778,96,29067174,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,9/30/2025 0:00:00,43,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,105997816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361292142,0,0,0,0,0,0,0,64024232,0,0,0,0,0,0,0,0,3097015,3097015,660315670,0,-3097015,-3097015,0,0,0,0,0,70174362,0,7044397,7044397,0,0,0,0,0,0,0,895459823,3947382,3947382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895459823,0,0,3097015,316,64368423,0,469,56882666,9414215,200,42753059,7720801,77,21558413,8319149,0,0,0,185562561,25454165,320,16018778,4099597,0,0,0,0,0,0,708,36514973,12284387,52533751,16383984,3,92952,0,0,0,0,0,0,0,0,0,0,92952,0,2093,238189264,41838149,102911518,806446441,806549558,103117,0,0,337,2970714,21,6812850,21,0,0,0,0,0,0,0,0,1,35512690,396,0,0,0,0,0,0,13868882,0,434823
82,9/30/2025 0:00:00,46,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,32072690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72221008,0,0,0,0,0,0,0,17385087,0,0,0,0,0,0,0,0,2077449,2077449,196414035,0,-2077449,-2077449,0,0,0,0,0,21775830,0,2361654,2361654,0,0,0,0,0,0,0,311470628,284205,284205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311470628,0,0,2077449,156,32469662,2778800,256,21059471,5540500,6,2690580,0,6,2666759,0,310,15985815,1345504,74872287,9664804,229,17683658,4707000,51,1195761,0,0,0,0,375,15133684,1744190,34013103,6451190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,108885390,16115994,39226355,264207896,264207896,0,13,5845681,0,0,0,0,0,0,0,0,148,0,0,258,1107650,0,0,0,0,0,0,0,0,0,1245582,0,120716
90,9/30/2025 0:00:00,49,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,146885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3606949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65230,65230,3541719,0,-65230,-65230,0,0,0,0,0,82326,0,27481,27481,0,0,0,0,0,0,0,7734894,-37749,-37749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7734894,0,0,65230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2579327,2579327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19412
98,9/30/2025 0:00:00,54,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,5845800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19126,19126,4367385,0,-19126,-19126,0,0,0,0,0,173110,0,99961,99961,0,0,0,0,0,0,0,11560585,80835,80835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11560585,0,0,19126,11,813533,0,8,407084,0,0,0,0,0,0,0,0,0,0,1220617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1220617,0,85572,9331091,9331091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,9/30/2025 0:00:00,57,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,7375812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15988893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137605,137605,23831248,0,-137605,-137605,0,0,0,0,0,4910593,0,607995,607995,0,0,0,0,0,0,0,76836002,470390,470390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76836002,0,0,137605,17,2557633,0,11,969538,0,0,0,0,0,0,0,0,0,0,3527171,0,89,3976648,1391700,0,0,0,0,0,0,9,476141,0,4452789,1391700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,7979960,1391700,0,65086636,65086636,0,0,0,246,4515363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
